set,value
s_,0.0
s_0,0.0013751996448263526
s_1,0.006652206997387111
s_2,0.003579786396585405
s_3,0.0012602059869095683
s_4,0.0007980943191796541
s_5,0.0016193418996408582
s_6,0.00035918084904551506
s_7,0.0006537229055538774
s_8,0.00021382508566603065
s_9,-0.0004731838998850435
s_10,0.0017014386830851436
s_11,-0.0004335421253927052
s_12,0.0022175227059051394
s_13,0.001279712887480855
s_14,0.004150764434598386
s_15,0.005137522588483989
s_0_1,0.00419078569393605
s_0_2,0.008043302106671035
s_0_3,0.003057827358134091
s_0_4,0.0019698679680004716
s_0_5,0.0037696295185014606
s_0_6,0.008251826162450016
s_0_7,0.001398795167915523
s_0_8,0.0017812097212299705
s_0_9,-0.0003147721872664988
s_0_10,0.01759427774231881
s_0_11,-0.0002518768305890262
s_0_12,0.003370928461663425
s_0_13,0.004184448509477079
s_0_14,0.011099723051302135
s_0_15,0.015138108166866004
s_1_2,0.002820596215315163
s_1_3,0.005522371153347194
s_1_4,0.005710484809242189
s_1_5,0.48399429756682366
s_1_6,0.7943886442808434
s_1_7,0.006138031254522502
s_1_8,0.0034178680507466197
s_1_9,-0.00027783631230704486
s_1_10,0.008396286400966346
s_1_11,0.0004466501995921135
s_1_12,0.02741400699596852
s_1_13,0.0050856469897553325
s_1_14,0.009143795701675117
s_1_15,0.03591296810191125
s_2_3,0.009229201707057655
s_2_4,0.005470455507747829
s_2_5,0.011365568148903549
s_2_6,0.2007196618942544
s_2_7,0.0026217325357720256
s_2_8,0.0014953193021938205
s_2_9,-0.00034871898242272437
s_2_10,0.004284085589461029
s_2_11,-0.00012549984967336059
s_2_12,0.00818610459100455
s_2_13,0.0030460694106295705
s_2_14,0.00426245981361717
s_2_15,0.02419709030073136
s_3_4,0.0017155698733404279
s_3_5,0.004456184688024223
s_3_6,0.012241766671650112
s_3_7,0.002111760783009231
s_3_8,0.001151915406808257
s_3_9,-0.00033406788134016097
s_3_10,0.026106947916559875
s_3_11,-0.0004232285573380068
s_3_12,0.0015248466515913606
s_3_13,0.0033745731925591826
s_3_14,0.009334446745924652
s_3_15,0.008438780787400901
s_4_5,0.003120561013929546
s_4_6,0.005504608969204128
s_4_7,0.001577426097355783
s_4_8,0.0005009197629988194
s_4_9,-0.00025153366732411087
s_4_10,0.01710374455433339
s_4_11,-0.0003509647212922573
s_4_12,0.0021044864552095532
s_4_13,0.002244051662273705
s_4_14,0.0075211700750514865
s_4_15,0.009927433799020946
s_5_6,0.2623096926836297
s_5_7,0.13608007866423577
s_5_8,0.005984537652693689
s_5_9,0.0023401897633448243
s_5_10,0.007575885276310146
s_5_11,0.00039270997513085604
s_5_12,0.02739075932186097
s_5_13,0.05242788034956902
s_5_14,0.037185385706834495
s_5_15,0.003311892389319837
s_6_7,0.0018263376550748944
s_6_8,0.0003568219253793359
s_6_9,0.0005843214457854629
s_6_10,0.11726961273234338
s_6_11,-0.00039547536289319396
s_6_12,0.014227518695406616
s_6_13,0.004804598051123321
s_6_14,0.0239809489576146
s_6_15,0.02177317056339234
s_7_8,0.0020358917536213994
s_7_9,0.005360810435377061
s_7_10,0.09558965999167413
s_7_11,0.00013911130372434855
s_7_12,0.0038765411591157317
s_7_13,0.0036493813386186957
s_7_14,0.0016642346745356917
s_7_15,0.035240400466136634
s_8_9,-0.0004662633582483977
s_8_10,0.005561681813560426
s_8_11,-0.00032663869205862284
s_8_12,0.0005815619369968772
s_8_13,6.0110760387033224e-05
s_8_14,0.00414922961499542
s_8_15,0.0004969785222783685
s_9_10,-0.0004455217276699841
s_9_11,-0.0004970953159499913
s_9_12,-0.00018540630117058754
s_9_13,-0.0004959057259839028
s_9_14,-0.0003639336791820824
s_9_15,-3.6486308090388775e-06
s_10_11,0.00279615365434438
s_10_12,0.0136028554989025
s_10_13,0.01179213437717408
s_10_14,0.010013996507041156
s_10_15,0.05971522245090455
s_11_12,-0.00022794876713305712
s_11_13,-0.00013654731446877122
s_11_14,5.841295933350921e-05
s_11_15,0.0010180858662351966
s_12_13,0.0016761192819103599
s_12_14,0.011052721994929016
s_12_15,0.0031288404716178775
s_13_14,0.0021151165710762143
s_13_15,0.0040725067956373096
s_14_15,0.008209350402466953
s_0_1_2,0.0004064069362357259
s_0_1_3,0.0013930891873314977
s_0_1_4,0.0036008808529004455
s_0_1_5,0.22917274374049157
s_0_1_6,0.7034427447943017
s_0_1_7,0.00633009837474674
s_0_1_8,0.01364387373905629
s_0_1_9,-0.00021215574815869331
s_0_1_10,0.003069841885007918
s_0_1_11,0.0011560821440070868
s_0_1_12,0.016769466805271804
s_0_1_13,0.002733156899921596
s_0_1_14,0.009524271707050502
s_0_1_15,0.020764876040630043
s_0_2_3,0.008619664120487869
s_0_2_4,0.008282788912765682
s_0_2_5,0.0034979566698893905
s_0_2_6,0.22119408089201897
s_0_2_7,0.0072905224515125155
s_0_2_8,0.004970366018824279
s_0_2_9,-0.00030304273241199553
s_0_2_10,0.0036435871152207255
s_0_2_11,0.0002448433078825474
s_0_2_12,0.023954082163982093
s_0_2_13,0.006286346702836454
s_0_2_14,0.011459898087196052
s_0_2_15,0.042318221065215766
s_0_3_4,0.0050367898074910045
s_0_3_5,0.0029476539930328727
s_0_3_6,0.016510812449268997
s_0_3_7,0.0026345705846324563
s_0_3_8,0.003112276433967054
s_0_3_9,-0.0002921362465713173
s_0_3_10,0.033440664294175804
s_0_3_11,-0.00018385404837317765
s_0_3_12,0.0027573014376685023
s_0_3_13,0.005939870025031269
s_0_3_14,0.016083951923064888
s_0_3_15,0.018513422342948616
s_0_4_5,0.005743054090999067
s_0_4_6,0.009205318870954216
s_0_4_7,0.0035818418255075812
s_0_4_8,0.0011008240981027484
s_0_4_9,-0.0001667287724558264
s_0_4_10,0.027048854040913284
s_0_4_11,-0.00024412866332568228
s_0_4_12,0.004233566462062299
s_0_4_13,0.004210516228340566
s_0_4_14,0.011418105917982757
s_0_4_15,0.02141066628973931
s_0_5_6,0.42063405353110284
s_0_5_7,0.1086413188604638
s_0_5_8,0.03372397262137383
s_0_5_9,0.04928912583272904
s_0_5_10,0.1286402418045327
s_0_5_11,0.007424853625707328
s_0_5_12,0.03733753028791398
s_0_5_13,0.09355632204096764
s_0_5_14,0.044701408478431404
s_0_5_15,0.00789990450721234
s_0_6_7,0.00792873918544501
s_0_6_8,0.005373481544665992
s_0_6_9,0.05763062450569123
s_0_6_10,0.20751594740431756
s_0_6_11,0.00028181489324197173
s_0_6_12,0.03325492131989449
s_0_6_13,0.021195120993070304
s_0_6_14,0.07993769634049386
s_0_6_15,0.028549900162033737
s_0_7_8,0.004716509836725891
s_0_7_9,0.00524669315200299
s_0_7_10,0.10754431027453393
s_0_7_11,0.0002529740449972451
s_0_7_12,0.00827420863788575
s_0_7_13,0.006897880579344928
s_0_7_14,0.002348831738345325
s_0_7_15,0.057698186370544136
s_0_8_9,-0.00039641858893446624
s_0_8_10,0.036479703965596855
s_0_8_11,-0.00015021773288026452
s_0_8_12,0.0036367675056681037
s_0_8_13,0.0016026870580390096
s_0_8_14,0.014399747247807682
s_0_8_15,0.001960257883183658
s_0_9_10,0.0008539026603102684
s_0_9_11,-0.00038216865505091846
s_0_9_12,-6.976112490519881e-05
s_0_9_13,-0.00032219543936662376
s_0_9_14,-0.0002967130858451128
s_0_9_15,0.0006752182962372899
s_0_10_11,0.024183668079786003
s_0_10_12,0.024862987804226577
s_0_10_13,0.03806133184116334
s_0_10_14,0.007638747687451541
s_0_10_15,0.07219012815039605
s_0_11_12,4.6358269173651934e-05
s_0_11_13,0.000719662057235837
s_0_11_14,0.0009918486466631293
s_0_11_15,0.0026802896754816175
s_0_12_13,0.0037732439814135432
s_0_12_14,0.028877708944492042
s_0_12_15,0.009114244836382568
s_0_13_14,0.008330945740453899
s_0_13_15,0.011303407954983413
s_0_14_15,0.07246915984433144
s_1_2_3,-3.0652619898319244e-05
s_1_2_4,0.0010314993560314178
s_1_2_5,0.5328712387708947
s_1_2_6,0.8893431349424645
s_1_2_7,0.004297331324778497
s_1_2_8,0.007347638602368534
s_1_2_9,-0.00018548683146946132
s_1_2_10,0.00031933176796883345
s_1_2_11,0.0005700159817934036
s_1_2_12,0.006119214347563684
s_1_2_13,0.0002907796879298985
s_1_2_14,0.006690645474009216
s_1_2_15,0.0034788091434165835
s_1_3_4,0.002699150121770799
s_1_3_5,0.12510948616545647
s_1_3_6,0.8852201624540612
s_1_3_7,0.005619611474685371
s_1_3_8,0.01080396759789437
s_1_3_9,-0.0003431359364185482
s_1_3_10,0.005031630746088922
s_1_3_11,0.0006300022359937429
s_1_3_12,0.02036394167225808
s_1_3_13,0.0022749433992430568
s_1_3_14,0.008467395673505962
s_1_3_15,0.022969644400291145
s_1_4_5,0.18720922607462853
s_1_4_6,0.7581785245565698
s_1_4_7,0.008084991830401123
s_1_4_8,0.0063593810191378
s_1_4_9,-0.00011034996714442968
s_1_4_10,0.002922201412729919
s_1_4_11,0.0010161413811147213
s_1_4_12,0.02477334241848439
s_1_4_13,0.004330017953179777
